Country/Region,Date,gr_infected_7,gr_infected_smoothed
China,2020-06-14,0.2238866004644311,
China,2020-06-15,0.1835527714701015,
China,2020-06-16,0.0831987767044104,
China,2020-06-17,0.0282710545033102,
China,2020-06-18,0.0357434041219615,
China,2020-06-19,-0.1193429983830571,
China,2020-06-20,0.137500041068697,
China,2020-06-21,-0.0528768184547606,
China,2020-06-22,0.0967177186138881,
China,2020-06-23,-0.0110355860053878,
China,2020-06-24,-0.0590732744648178,
China,2020-06-25,-0.0254809763879807,
China,2020-06-26,-0.0265651981058383,
China,2020-06-27,-0.0191249439897367,
China,2020-06-28,-0.0602106091328327,
China,2020-06-29,-0.0132590722810713,
China,2020-06-30,-0.1147129620054954,
China,2020-07-01,0.0319934852902239,
China,2020-07-02,-0.0607092772548562,
China,2020-07-03,-0.0772641398498814,
China,2020-07-04,-0.0066102190515251,
China,2020-07-05,-0.0235931961263745,
China,2020-07-06,0.0342542026123386,
China,2020-07-07,0.0992485194981427,
China,2020-07-08,0.0666456456027517,
China,2020-07-09,0.0938453838600161,
China,2020-07-10,0.0459128477902288,
China,2020-07-11,0.0552344816395931,
China,2020-07-12,0.0698954206749673,
China,2020-07-13,0.0832900964954412,
China,2020-07-14,0.0802997026354093,
China,2020-07-15,-0.0628948001677562,
China,2020-07-16,0.152239325696903,
China,2020-07-17,0.1039929036506859,
China,2020-07-18,0.1198699124414599,
China,2020-07-19,0.2839242518743363,
China,2020-07-20,0.0437555581110455,
China,2020-07-21,0.0024094555895806,
China,2020-07-22,0.1544093727198661,
China,2020-07-23,0.1049916948292277,
China,2020-07-24,0.1324192419357195,
China,2020-07-25,0.1593938762932116,
China,2020-07-26,0.1233870543997421,
China,2020-07-27,0.080319085468006,
China,2020-07-28,0.055499696610072,
China,2020-07-29,0.0294813972017955,
China,2020-07-30,0.096891241878438,
China,2020-07-31,-0.034722120682297,
China,2020-08-01,0.0080982066751889,
China,2020-08-02,-0.0057243524378732,
China,2020-08-03,-0.0485309678522808,
China,2020-08-04,-0.0378881211023139,
China,2020-08-05,-0.016436532211448,
China,2020-08-06,-0.0099220675975949,
China,2020-08-07,-0.0237060428549548,
China,2020-08-08,-0.0463146470895403,
China,2020-08-09,-0.016795931775702,
China,2020-08-10,-0.0059005353663198,
China,2020-08-11,-0.0773921929604476,
China,2020-08-12,-0.0316567783228636,
China,2020-08-13,-0.0127100245789336,
China,2020-08-14,-0.0342973656621861,
China,2020-08-15,-0.0465011484888735,
China,2020-08-16,-0.0093199458433762,
China,2020-08-17,-0.0189928779004637,
China,2020-08-18,-0.0562065102567986,
China,2020-08-19,-0.0838357799153642,
China,2020-08-20,-0.0540975946313594,
China,2020-08-21,-0.0384269321071232,
China,2020-08-22,-0.0311057045437456,
China,2020-08-23,-0.0518854239316165,
China,2020-08-24,-0.0589007771719746,
China,2020-08-25,-0.0518255504116691,
China,2020-08-26,-0.0641312229194166,
China,2020-08-27,-0.0443743930144634,
China,2020-08-28,-0.0655653019499041,
China,2020-08-29,-0.0647373449750099,
China,2020-08-30,-0.0544166607464959,
China,2020-08-31,-0.04413095093671,
China,2020-09-01,0.001197168020607,
China,2020-09-02,-0.0369816648344989,
China,2020-09-03,-0.021639823158323,
China,2020-09-04,-0.0103146037464435,
China,2020-09-05,-0.0700724085165099,
China,2020-09-06,0.0105505854586303,
China,2020-09-07,-0.0313261414561022,
China,2020-09-08,-0.0788916844125815,
China,2020-09-09,-0.073413129203039,
China,2020-09-10,0.0145295342799798,
China,2020-09-11,0.0011946236900461,
China,2020-09-12,-0.0321803088348597,
China,2020-09-13,0.2345205397914056,
China,2020-09-14,0.0424080995489264,
China,2020-09-15,-0.0747280262922794,
China,2020-09-16,-0.0404133870926491,
China,2020-09-17,0.0406335424565589,
China,2020-09-18,-0.0306497278727683,
China,2020-09-19,0.0125856656156295,
China,2020-09-20,0.0400493103324812,
China,2020-09-21,-0.0266617804150647,
China,2020-09-22,-0.0363846962273145,
China,2020-09-23,-0.0591505598455012,
China,2020-09-24,-0.0183003208888431,
China,2020-09-25,-0.0196035061279332,
China,2020-09-26,0.0235345306522063,
China,2020-09-27,0.0305463393196732,
China,2020-09-28,-0.0166594099939434,
China,2020-09-29,0.0246922829598583,
China,2020-09-30,-0.0141349752300145,
China,2020-10-01,-0.0299336925745616,
China,2020-10-02,0.0353925622626205,
China,2020-10-03,-0.0339417172335063,
China,2020-10-04,0.0244375648279366,
China,2020-10-05,0.0346471578576406,
China,2020-10-06,0.0115470609625383,
China,2020-10-07,-0.0071756837637305,
China,2020-10-08,0.0143042757399936,
China,2020-10-09,-0.0148590646898889,
China,2020-10-10,0.0828084889173301,
China,2020-10-11,0.0308159443694127,
China,2020-10-12,0.0072442725328158,
China,2020-10-13,-0.0181653820977761,
China,2020-10-14,-0.0747114767275903,
China,2020-10-15,0.0479581773812269,
China,2020-10-16,-0.0534128849242194,
China,2020-10-17,-0.0078695550295627,
China,2020-10-18,0.0306171974906057,
China,2020-10-19,0.0782702198190117,
China,2020-10-20,-0.0265453716289525,
China,2020-10-21,-0.03595084865982,
China,2020-10-22,0.0300054613008879,
China,2020-10-23,-0.0066957109646307,
China,2020-10-24,0.0005979124777726,
China,2020-10-25,-0.0122317505484174,
China,2020-10-26,0.4473979984126623,
China,2020-10-27,0.0688445478509216,
China,2020-10-28,-0.0115081568848895,
China,2020-10-29,-0.1006735972110443,
China,2020-10-30,0.0752544200259823,
China,2020-10-31,-0.020713032209189,
China,2020-11-01,0.0731888740506552,
China,2020-11-02,0.0293996909865847,
China,2020-11-03,0.0143994772484561,
China,2020-11-04,0.1632165747920662,
