Date,R,lb_65,ub_65
2020-03-16,2.0718614301131315,1.9723090983898617,2.1711736262430414
2020-03-17,2.1134091374156236,2.0246061892812524,2.202274835471893
2020-03-18,2.1524151014094635,2.0687786494988503,2.2360170900868566
2020-03-19,2.146779930345902,2.067733058288198,2.2262527989990453
2020-03-20,2.064899932912151,1.9892968513777922,2.1408666964451766
2020-03-21,2.0056361771676015,1.9311515792308573,2.079814276911647
2020-03-22,1.929873228711449,1.8562751128852932,2.0028872763879795
2020-03-23,1.8831455313082162,1.8105328022199174,1.9559671968520904
2020-03-24,1.8393423010116707,1.7668172806132638,1.9126018678054206
2020-03-25,1.7742182055494622,1.7018546940594779,1.8469897981356764
2020-03-26,1.7171628993732888,1.64426488158402,1.7904042446987765
2020-03-27,1.6919523329473556,1.6193503199709383,1.7637536416451143
2020-03-28,1.6331614035389448,1.560804969255512,1.7062113679268265
2020-03-29,1.587658122271316,1.5143056804582364,1.661074886831028
2020-03-30,1.5402089428019718,1.4673222436882123,1.6130600666306583
2020-03-31,1.47831716335957,1.4051499245291816,1.5522334777548887
2020-04-01,1.4477602282637085,1.3749992939136249,1.5205386672438082
2020-04-02,1.4232682564726467,1.3502854415285783,1.4966968641947223
2020-04-03,1.4478248065576003,1.3753499090617995,1.5207242008140205
2020-04-04,1.457814212960364,1.385355487821805,1.5303453463178105
2020-04-05,1.5035234259502994,1.4311751490644435,1.5764811884300025
2020-04-06,1.5430341677465391,1.4702367821924596,1.6158285336749918
2020-04-07,1.5450664809011043,1.4729061647767434,1.6179974199291705
2020-04-08,1.5290098816694677,1.456501295744386,1.6017353234251022
2020-04-09,1.5246735206932633,1.4533398673813522,1.5965219370678216
2020-04-10,1.4940451570314712,1.4220985082341835,1.5659503173121712
2020-04-11,1.502253113833694,1.4307819678209643,1.5747120444805276
2020-04-12,1.483803514390609,1.4118096656598658,1.5562114371421925
2020-04-13,1.4264849966401043,1.3549523343712286,1.499052308613201
2020-04-14,1.3553074968077503,1.2835725715592843,1.4267605651851973
2020-04-15,1.310262776015363,1.2383134194783942,1.381678034015001
2020-04-16,1.2764465437015369,1.2046534991653732,1.348334490840311
2020-04-17,1.2446214765167198,1.1721753840855873,1.3161285360485406
2020-04-18,1.2044289287879746,1.13220258956738,1.2771292020782217
2020-04-19,1.1687942306908812,1.0966498218781893,1.2413487760238104
2020-04-20,1.1376320199134793,1.064817406986084,1.209170626028956
2020-04-21,1.1269884848802338,1.0550302118878565,1.1998689009421812
2020-04-22,1.112374895760794,1.0404402655165785,1.1850416502602759
2020-04-23,1.1094545123364676,1.0380098576921184,1.1816000738855306
2020-04-24,1.1128872753295174,1.040668729206778,1.1855046154265958
2020-04-25,1.0997100855893505,1.0265704954362778,1.1728256213887316
2020-04-26,1.0754581065441158,1.003138893308608,1.1481323853766179
2020-04-27,1.0646988234603778,0.9927916610805627,1.1369537360846893
2020-04-28,1.0639537835819062,0.9919919696806503,1.1355416516545644
2020-04-29,1.053960644110234,0.9818199822939583,1.1259586080424424
2020-04-30,1.0645905942237004,0.9918320042006361,1.1359938110668146
2020-05-01,1.0826526614257095,1.0102151643297046,1.1538890441961576
2020-05-02,1.0886117685467915,1.0169834160743556,1.1608255799513454
2020-05-03,1.1168354303763843,1.0447462301709545,1.1897477343679241
2020-05-04,1.1385759584822508,1.066224708020512,1.210451154415282
2020-05-05,1.1303627368574793,1.058117128551329,1.202304256255243
2020-05-06,1.1059428136823373,1.0324158617460693,1.1793536594060796
2020-05-07,1.0951422769852845,1.0227817674503785,1.1676353667350194
2020-05-08,1.10980369811857,1.0370459344758243,1.1829189747972249
2020-05-09,1.1434928143956573,1.0708413047221177,1.2154934082047544
2020-05-10,1.1553934458028932,1.0830151559373387,1.227443543253761
2020-05-11,1.1685663647940827,1.0971602226374366,1.2406714030054808
2020-05-12,1.20631361496181,1.1347839874821333,1.2778983227508145
2020-05-13,1.2342169873636,1.1620487825932542,1.3067525020169384
2020-05-14,1.2209329889031877,1.14870356680557,1.292994172271123
2020-05-15,1.2089738725808052,1.1366114319257086,1.2806826487267222
2020-05-16,1.2035044132393478,1.1309911221806506,1.275561464844314
2020-05-17,1.2137353018601367,1.1425738124805227,1.2851640157115096
2020-05-18,1.2247597401196895,1.152848654321422,1.2962525793996305
2020-05-19,1.2297254149235572,1.1582686171657885,1.3006523091057347
2020-05-20,1.247385743500357,1.176760981840792,1.3195487904056427
2020-05-21,1.2591703716390517,1.1861349498454465,1.3316692476051442
2020-05-22,1.2254866274416374,1.1534347182734541,1.298015931982655
2020-05-23,1.1952931594807448,1.1225631003689285,1.2679106698739702
2020-05-24,1.1385348431932243,1.0664309080812036,1.2105412115232017
2020-05-25,1.0951177818787787,1.02262949424125,1.1668696959850648
2020-05-26,1.0634528202370954,0.9911760522091532,1.1357058624948222
2020-05-27,1.0592825714500698,0.9869971195691243,1.1319810180862206
2020-05-28,1.059124061060695,0.9871210746765747,1.1312764103919024
2020-05-29,1.0613102317054535,0.9887556348173911,1.1337204500936813
2020-05-30,1.0566546480613166,0.9840119009434566,1.1300130911347386
2020-05-31,1.0755476953837855,1.0026209546580602,1.1483799372727814
2020-06-01,1.0752107850338628,1.0029574691643635,1.1479516897343771
2020-06-02,1.0841971158313393,1.0113901382393693,1.1567764167305512
2020-06-03,1.0960093047258292,1.0224159916779443,1.1693993159588878
2020-06-04,1.1197766622114569,1.047638895818999,1.1927791742103566
2020-06-05,1.1650951650491992,1.0929191618804273,1.23836735778283
2020-06-06,1.2129212536750333,1.1405755660093422,1.2857467304152284
