Date,R_filtered,R_smoothed
2020-03-16,1.0170940170709044,1.98823243921916
2020-03-17,1.6605683835225449,2.045913922763196
2020-03-18,2.068412313880903,2.090406464830203
2020-03-19,2.460237062231511,2.0939894384074997
2020-03-20,2.271510915039105,2.0209300610683685
2020-03-21,2.2542392769216906,1.9643735333302992
2020-03-22,2.0750528249563,1.893780628437747
2020-03-23,1.9246813478015012,1.847513141448316
2020-03-24,1.98415939925466,1.8272384421555525
2020-03-25,1.9482883528808363,1.7852678583574215
2020-03-26,1.8753731801285853,1.7411841481971584
2020-03-27,1.9468196838329903,1.7046507318916653
2020-03-28,1.815285499689244,1.638444456424171
2020-03-29,1.7522593787585288,1.589974161071574
2020-03-30,1.6776191503972617,1.5454233633685321
2020-03-31,1.5690497533399839,1.5090975978482335
2020-04-01,1.553777568363501,1.4926136718833676
2020-04-02,1.4473455949631122,1.4757904145507175
2020-04-03,1.5286788466436196,1.4836159842145895
2020-04-04,1.3892259747167455,1.4712168398239411
2020-04-05,1.4202134409009353,1.4937787262791677
2020-04-06,1.4839560648776917,1.5140231592168645
2020-04-07,1.5442884601702254,1.5222975903107088
2020-04-08,1.5138775663276902,1.5162456073634476
2020-04-09,1.6298515023831148,1.5168973104862626
2020-04-10,1.5282229652964165,1.4858112144426254
2020-04-11,1.5669344599693915,1.474139032896144
2020-04-12,1.633440520933373,1.448600635679333
2020-04-13,1.5657980295482243,1.3977304281298908
2020-04-14,1.4709876507440955,1.3514761096205645
2020-04-15,1.4050260087267534,1.3185847737616139
2020-04-16,1.4161597611632046,1.294794965704688
2020-04-17,1.4266087877937519,1.2613937169836285
2020-04-18,1.3554118308615684,1.2159242737917382
2020-04-19,1.2977914996951487,1.1775353936425939
2020-04-20,1.1489426719361058,1.1444392713831497
2020-04-21,1.1827794776608094,1.1431998740654057
2020-04-22,1.131279544888809,1.1323070267699733
2020-04-23,1.1462427244640627,1.1325898038120263
2020-04-24,1.2064988971398285,1.1288323336433115
2020-04-25,1.209518296636141,1.1074574349763926
2020-04-26,1.125816021114899,1.0793688923961176
2020-04-27,1.0244497286269567,1.0665860084234307
2020-04-28,1.0921493801512543,1.0781824879160626
2020-04-29,1.0290381799437949,1.0743386084809647
2020-04-30,1.044084707358556,1.0868059049076106
2020-05-01,1.1105376493554229,1.0985633617517185
2020-05-02,1.058212590096708,1.0952678743165214
2020-05-03,1.0580524215885132,1.1054659944548986
2020-05-04,1.0859040986402706,1.1185148570520058
2020-05-05,1.1572980562336512,1.127489783006255
2020-05-06,1.1263469479628982,1.1192861392374662
2020-05-07,1.084386194064163,1.1173429082739978
2020-05-08,1.052254828082668,1.1264130459872679
2020-05-09,1.1484112415693009,1.146822400047348
2020-05-10,1.1196871470365184,1.1463851291678264
2020-05-11,1.0096778012041328,1.1537327783617233
2020-05-12,1.08135469609717,1.1933786748786575
2020-05-13,1.2410248868225673,1.2242092033186953
2020-05-14,1.263189206256808,1.2195812976315026
2020-05-15,1.2290367013009726,1.2075798057928175
2020-05-16,1.2174323055334437,1.2016745751949163
2020-05-17,1.1834260910483259,1.1973378326632118
2020-05-18,1.158066065826157,1.2011665338946225
2020-05-19,1.1314383332054145,1.213028371163907
2020-05-20,1.204098063426694,1.2354830635705183
2020-05-21,1.3612098846114158,1.2441206441139856
2020-05-22,1.307209488986624,1.211896086492979
2020-05-23,1.3783911557446211,1.1856645367992389
2020-05-24,1.2603987444162406,1.1326235399414317
2020-05-25,1.1558606194377425,1.0974580591368592
2020-05-26,1.05630297798616,1.0813848771635641
2020-05-27,1.08742176376241,1.0882877582639354
2020-05-28,1.1049775977590215,1.0885260917743018
2020-05-29,1.1095796421892339,1.0839984127125473
2020-05-30,1.0662684614140108,1.0769581090963858
2020-05-31,1.085914833042053,1.079900046085861
2020-06-01,1.0145226589440042,1.0782446945947721
2020-06-02,1.015795663017309,1.0957818688119116
2020-06-03,1.0431957404410641,1.117795164709671
2020-06-04,1.024770760615334,1.1383259447849796
2020-06-05,1.0535244261381584,1.1695778818536042
2020-06-06,1.1713756593474152,1.201517377360891
2020-06-07,1.1337631422265553,1.209812789687378
2020-06-08,1.1604199580736918,1.2307426909852883
2020-06-09,1.232268477754547,1.25009646720887
2020-06-10,1.3242580697985546,1.2550029733147845
2020-06-11,1.2967565827003134,1.2359430252127332
2020-06-12,1.302000197820095,1.2192063038959704
2020-06-13,1.269808568380615,1.1964202938911996
2020-06-14,1.201548520078555,1.1762228387711255
2020-06-15,1.188072463867829,1.169252865500179
2020-06-16,1.193809320947123,1.164073455082739
2020-06-17,1.1732610219808441,1.1558897388088394
2020-06-18,1.2218862830034658,1.151108924507295
2020-06-19,1.181535596028839,1.1316300291157706
2020-06-20,1.1882806651503675,1.1178953357334656
2020-06-21,1.1104297028147607,1.0985243320969849
2020-06-22,1.0734345900798647,1.0952478115297273
2020-06-23,1.0669913770021089,1.1012511078917555
2020-06-24,1.073749256074741,1.1106798535855824
2020-06-25,1.0894172084259364,1.1208436582392851
2020-06-26,1.1093917907888249,1.1294926462977237
2020-06-27,1.1476655635418278,1.135024676173622
2020-06-28,1.1307324966652152,1.1315457313820523
2020-06-29,1.093070203804865,1.1317695446793357
2020-06-30,1.1053321154313713,1.1424201316556148
2020-07-01,1.1270326965183188,1.152627260088506
2020-07-02,1.1802407292409671,1.1596712334292512
2020-07-03,1.1509740076536472,1.1540102273436046
2020-07-04,1.1517352183019567,1.1548458364562217
2020-07-05,1.1739072658571172,1.155701921041989
2020-07-06,1.1170969651905,1.1506915615886943
2020-07-07,1.0848029907495125,1.1599372531892973
2020-07-08,1.1572326394778973,1.1806152280315358
2020-07-09,1.3221361753984873,1.1870504356473164
2020-07-10,1.2589687574741077,1.1498729957229072
2020-07-11,1.2167432045530737,1.1198483525889695
2020-07-12,1.1829346263722484,1.0931815664092035
2020-07-13,1.1006331103924087,1.0684802988960347
2020-07-14,1.084054003154727,1.0596314061853078
2020-07-15,1.0607536565687266,1.0529099740541212
2020-07-16,1.050425828995318,1.0507512855351848
2020-07-17,1.026398576827185,1.0508408556184607
2020-07-18,1.0498905174085167,1.057567704455741
2020-07-19,1.0481654992926783,1.0596805711488677
2020-07-20,1.0528392718896176,1.0628496761406108
2020-07-21,1.0490929767654933,1.0656046760639621
2020-07-22,1.0755254727550785,1.0701489211474882
2020-07-23,1.0933516681095987,1.0686692207382529
2020-07-24,1.0832148061683429,1.0618762742286814
2020-07-25,1.0874103541364655,1.056003618900864
2020-07-26,1.0400530676304411,1.0473600565633874
2020-07-27,1.0107401218854457,1.049371039681097
2020-07-28,1.0193927305430466,1.060002795691895
2020-07-29,1.1060772512334618,1.0711792400758742
2020-07-30,1.0986985687533979,1.0615748309377784
2020-07-31,1.1069165451125738,1.0513578714352285
2020-08-01,1.0520391226080585,1.0360673658887212
2020-08-02,1.0080220144879826,1.0316717203748853
2020-08-03,0.9972717402455047,1.038180442327771
2020-08-04,1.0201930859236257,1.0494390756731595
2020-08-05,1.0216334192105134,1.0574879713519036
2020-08-06,1.0300651519030644,1.0673556336285326
2020-08-07,1.1059777578055883,1.0776184833316511
2020-08-08,1.1276691876579432,1.0698136238032014
2020-08-09,1.0945653500960948,1.0538909827201048
