Date,R,lb_65,ub_65
2020-03-16,1.0209324577055132,0.8372851393103432,1.2045797761006833
2020-03-17,1.6729323501379094,1.5400368707882703,1.805827829487549
2020-03-18,2.0962885350214577,1.9825901020799006,2.209986967963014
2020-03-19,2.5137993000554224,2.4091595926082627,2.6184390075025816
2020-03-20,2.285115610709109,2.1850867252028174,2.3851444962154
2020-03-21,2.261219360424126,2.1636155144429607,2.3588232064052916
2020-03-22,2.0476591934087787,1.9513519626884783,2.1439664241290792
2020-03-23,1.875100167652461,1.7794927521318775,1.970707583173045
2020-03-24,1.9607373298525421,1.8655099082721678,2.0559647514329162
2020-03-25,1.923452193934618,1.828432002539746,2.0184723853294897
2020-03-26,1.8410151532788903,1.746108364093611,1.9359219424641694
2020-03-27,1.9380705734842696,1.8432260239791871,2.0329151229893525
2020-03-28,1.7787254100310823,1.6839151111289163,1.873535708933248
2020-03-29,1.7111154698078483,1.6163240661117122,1.8059068735039845
2020-03-30,1.6303845690872685,1.535603614334778,1.7251655238397587
2020-03-31,1.5094513775388787,1.4146762144115326,1.6042265406662248
2020-04-01,1.5068621807407927,1.412090235081772,1.601634126399814
2020-04-02,1.3883959104632968,1.293625756223391,1.4831660647032023
2020-04-03,1.5047419525721422,1.4099727979530905,1.5995111071911938
2020-04-04,1.339245087384145,1.244476491717954,1.434013683050336
2020-04-05,1.3910636688277374,1.2962953858133703,1.4858319518421041
2020-04-06,1.4775905637601217,1.382822454174401,1.572358673345842
2020-04-07,1.5536958631877484,1.4589278465559197,1.648463879819577
2020-04-08,1.5135847601925831,1.4188167892009929,1.6083527311841732
2020-04-09,1.6566833410033326,1.5619153895494806,1.751451292457185
2020-04-10,1.5239931133127051,1.4292251689395201,1.61876105768589
2020-04-11,1.5728913097231445,1.4781233674631855,1.6676592519831035
2020-04-12,1.653289419706629,1.5585214779277685,1.7480573614854893
2020-04-13,1.5644386704125668,1.4696707287393878,1.659206612085746
2020-04-14,1.4478762666381482,1.3531083249818858,1.542644208294411
2020-04-15,1.3728332881667982,1.2780653465105356,1.467601229823061
2020-04-16,1.3953510503724873,1.3005831087162247,1.4901189920287499
2020-04-17,1.4139071036847723,1.3191391620285096,1.508675045341035
2020-04-18,1.3295447104907052,1.2347767688344427,1.424312652146968
2020-04-19,1.265522987951705,1.1707550462954421,1.3602909296079673
2020-04-20,1.0907242701430377,0.9959563284867751,1.1854922117993005
2020-04-21,1.1483305496927072,1.0535626080364446,1.24309849134897
2020-04-22,1.094180872598967,0.9994129309427044,1.1889488142552296
2020-04-23,1.122729280301256,1.0279613386449933,1.2174972219575186
2020-04-24,1.203431092034263,1.1086631503780002,1.2981990336905258
2020-04-25,1.2079576921719235,1.113189750515661,1.3027256338281863
2020-04-26,1.1051190470030485,1.010351105346786,1.1998869886593113
2020-04-27,0.9857255015522922,0.8909575598960296,1.080493443208555
2020-04-28,1.0797788339924197,0.9850108923361569,1.1745467756486823
2020-04-29,1.005288017064464,0.9105200754082016,1.1000559587207268
2020-04-30,1.0303075975702347,0.9355396559139721,1.1250755392264975
2020-05-01,1.1160077115395133,1.0212397698832505,1.2107756531957758
2020-05-02,1.049954260505729,0.9551863188494665,1.1447222021619916
2020-05-03,1.051997197040367,0.9572292553841044,1.1467651386966298
2020-05-04,1.0879896970171916,0.993221755360929,1.1827576386734544
2020-05-05,1.175466032009141,1.0806980903528784,1.2702339736654038
2020-05-06,1.132322631116513,1.0375546894602505,1.227090572772776
2020-05-07,1.0789367809500003,0.9841688392937377,1.173704722606263
2020-05-08,1.040795874696723,0.9460279330404604,1.1355638163529858
2020-05-09,1.1625235610472104,1.0677556193909479,1.257291502703473
2020-05-10,1.1232381390834172,1.0284701974271544,1.2180060807396798
2020-05-11,0.9865848052415773,0.8918168635853146,1.0813527468978401
2020-05-12,1.0812987317000242,0.9865307900437614,1.1760666733562866
2020-05-13,1.2782454161233,1.1834774744670373,1.3730133577795627
2020-05-14,1.2954158578582446,1.200647916201982,1.3901837995145074
2020-05-15,1.2445015523760306,1.149733610719768,1.3392694940322931
2020-05-16,1.225982494385188,1.1312145527289252,1.3207504360414506
2020-05-17,1.1817214069137572,1.0869534652574946,1.27648934857002
2020-05-18,1.1509226460151274,1.0561547043588648,1.2456905876713902
2020-05-19,1.1200407196759434,1.0252727780196809,1.214808661332206
2020-05-20,1.2127763731134247,1.118008431457162,1.3075443147696872
2020-05-21,1.404188485302081,1.3094205436458182,1.4989564269583435
2020-05-22,1.3258521934283507,1.231084251772088,1.4206201350846133
2020-05-23,1.4085728103173965,1.3138048686611337,1.503340751973659
2020-05-24,1.2548172666301016,1.160049324973839,1.3495852082863642
2020-05-25,1.1274259663349342,1.0326580246786714,1.2221939079911968
2020-05-26,1.0124097964407146,0.9176418547844521,1.1071777380969774
2020-05-27,1.0627778672614772,0.9680099256052145,1.1575458089177397
2020-05-28,1.091147363923777,0.9963794222675144,1.1859153055800395
2020-05-29,1.1005828621586393,1.0058149205023768,1.195350803814902
2020-05-30,1.049602846913812,0.9548349052575491,1.1443707885700745
2020-05-31,1.078370296284026,0.9836023546277632,1.1731382379402886
2020-06-01,0.992359309493445,0.8975913678371822,1.0871272511497077
2020-06-02,0.9999670976002417,0.905199155943979,1.0947350392565043
2020-06-03,1.0380671744883114,0.9432992328320488,1.1328351161445742
2020-06-04,1.0167248184821573,0.9219568768258947,1.11149276013842
2020-06-05,1.054372272176871,0.9596043305206083,1.1491402138331335
2020-06-06,1.1994854949989906,1.1047175533427278,1.2942534366552532
