S,E,I,R,total_cases,time,eff_repr_number,gr_I
10999275.217635434,197.01104559800467,297.9555319738442,230.8157869974567,528.771318971301,91,2.5998399194433754,0.07160051111247445
10999223.225560106,211.11638138721563,319.289186402264,247.36887210711473,566.6580585093787,92,2.599828451456698,0.07160012867387411
10999167.51116379,226.23147359184162,342.150202381731,265.1071602405738,607.2573626223049,93,2.5998161624218286,0.07159971885381977
10999107.807997862,242.42858690611794,366.64791041878385,284.11550481733667,650.7634152361205,94,2.5998029935657145,0.07159927969214297
10999043.83054797,259.78515470067543,392.8994641595151,304.4848331739358,697.3842973334508,95,2.5997888819095962,0.071598809088389
10998975.272870818,278.38414825536574,421.0303997469369,326.3125811827977,747.3429809297346,96,2.5997737599682695,0.07159830479178453
10998901.807133647,298.314472301651,451.17523510925,349.70315894651645,800.8783940557664,97,2.5997575554278702,0.07159776439048549
10998823.082049457,319.6713887392614,483.47811202016476,374.76844978591924,858.246561806084,98,2.599740190800663,0.07159718530005921
10998738.721200608,342.5569705224993,518.0934839731759,401.6283448981506,919.7218288713265,99,2.5997215830551825,0.07159656475114118
10998648.321242794,367.0805878511846,555.1868531264288,430.4113162299937,985.5981693564224,100,2.599701643219994,0.07159589977621361
10998551.449980954,393.3594289503598,594.9355598044618,461.25503029257305,1056.1905900970348,101,2.599680275959181,0.07159518719543834
10998447.644307993,421.5190578821253,637.5296282886848,494.30700583726536,1131.8366341259502,102,2.5996573791175543,0.07159442360147783
10998336.407996587,451.69401200299285,683.1726728910041,529.7253185199701,1212.8979914109743,103,2.599632843233449,0.07159360534323489
10998217.20933365,484.02844186160223,732.0828685856692,567.6793559028036,1299.7622244884728,104,2.59960655101678,0.07159272850843146
10998089.478586322,518.6767965252636,784.4939907743803,608.3506263797852,1392.8446171541655,105,2.59957837678992,0.071591788904944
10997952.605287524,555.8045575303004,840.6565290802347,651.9336258672508,1492.5901549474854,106,2.59954818588875,0.0715907820408106
10997805.93532835,595.5890248713695,900.8388804085273,698.6367663717083,1599.4756467802354,107,2.5995158340210662,0.07158970310280988
10997648.767843604,638.2201586796303,965.3286268781887,748.6833708388486,1714.0119977170373,108,2.599481166579322,0.07158854693351557
10997480.351875896,683.9014804896863,1034.4339046182183,802.312738998748,1836.7466436169661,109,2.599444017904487,0.07158730800671642
